ID,128 rate,256 rate,512 rate, E[score], E[sum]
12,0.4067056970840666,0.014530478284096449,2.2827115259116033e-05,693.4673256300247,164.23484452499017
13,0.5721751321155792,0.04322411208750019,0.00023726787746807006,834.2394143824062,184.36919052794775
14,0.9605820853732516,0.688690333757248,0.020102959503116004,2146.334964958748,373.6512187908693
15,0.9624667499685755,0.5072721613299606,0.00528053827144794,1767.953051506641,320.4214693230038
16,0.9832733856741023,0.81902853923969,0.04226323746232093,2550.851199832105,435.89248585227085
17,0.8755567800596546,0.05077951043526949,0.0,1078.0620195845931,222.75755736701913
18,0.8150711620536805,0.04153360431950348,0.0,1053.9161464680037,219.7159697952312
19,0.975767838309244,0.5179372582614126,0.006210636994857501,1803.9159400215601,325.7472778576007
20,0.01562802504354813,1.826146630852753e-05,5.762291467414694e-11,359.863614880633,108.15106354060629
21,0.48290845344303573,0.0456952943555624,0.00020405013184777077,747.8029421063594,171.9964025707221
22,0.25205606694118526,0.023171301963800735,3.985484287615903e-05,562.1684301934696,140.49214944129565
23,0.0006470952985514024,1.1203568522363786e-08,1.392783918437289e-19,209.21975825241478,77.29659397208025
24,0.8211820769392192,0.3028603702018478,0.0017461275872962785,1363.9007557016218,260.2343159406248
25,0.05937245685408788,0.0005555968771708013,2.1215930869198764e-08,398.8611759628154,114.16408277405857
26,0.6050979173979599,0.14541186822550944,0.0009368865660381104,921.9124119905566,195.01551447911712
27,0.8197047021983525,0.38195290634818657,0.0021886095320870704,1468.0837929648976,274.17484194393984
28,0.19960233437458036,0.004521720368568706,2.002329298434658e-06,559.3481549104257,142.322078784385
29,0.015800165470125138,4.351009621894913e-05,3.991833486323954e-10,321.1407622875057,100.14153247971323
30,0.35589770142749094,0.03272643125483639,3.992405385049504e-05,653.0327083416388,153.6623608961441
31,0.9425334291197114,0.3182050258744685,0.0002739022031127653,1477.1708358636888,279.97731737729794
32,0.008115069238752477,9.271510089223645e-07,1.149159854731066e-16,330.9081667182759,102.73263755048843
33,0.7527584473559205,0.2988721173159584,0.005628595027610583,1277.8185187650101,247.2657719283984
34,0.9566352843153731,0.7107787466789199,0.021524774633917658,2218.174888877835,384.7637688864863
35,0.19341712508759215,0.0011061510611309648,1.3251271339138765e-07,623.4314000476359,158.09199625377667
